House_Number,Road,Town,Postcode,Latitude,Longitude,Bedrooms,Bathrooms,Currently_For_Sale,Month,Year,Price,Rightmove_Link,EPC_Rating,EPC_Score,EPC_Potential_Rating,EPC_Potential_Score,EPC_Certificate_Number,EPC_Link,Floor_Area_(m^2),Floor_Area_(ft^2),Property_Type
41,Orme Road,Bangor,LL57 1AY,53.23135536287220,-4.12085987575868,4,,No,9,2005,142500,https://www.rightmove.co.uk/house-prices/details/england-115356455-52607655?s=cfd97a5e3f5122ec8ed3e99eb7605dfadccbfefd37c35e4f139a262405532a50#/,D,59,B,87,0850-2861-7422-9498-4241,https://find-energy-certificate.service.gov.uk/energy-certificate/0850-2861-7422-9498-4241,81,872,Mid-terrace
42,Orme Road,Bangor,LL57 1AY,53.23145472563780,-4.12118439420844,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
43,Orme Road,Bangor,LL57 1AY,53.23139666798770,-4.12081960601144,,,,,,,,E,49,B,87,0224-2877-7713-9404-1121,https://find-energy-certificate.service.gov.uk/energy-certificate/0224-2877-7713-9404-1121,85,915,Mid-terrace
44,Orme Road,Bangor,LL57 1AY,53.23149926657510,-4.12112564937087,3,1,No,11,2017,110000,https://www.rightmove.co.uk/house-prices/details/england-68361908-90111786?s=e29d2779afdfc7fd7f9f0947cf1c9dd5a20abb5c8b09b18425db523104690552#/,E,49,B,87,0655-2836-7283-9493-0905,https://find-energy-certificate.service.gov.uk/energy-certificate/0655-2836-7283-9493-0905,88,947,End-terrace
45,Orme Road,Bangor,LL57 1AY,53.23144398167000,-4.12073711264825,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
46,Orme Road,Bangor,LL57 1AY,53.23155546163610,-4.12108807246973,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
47,Orme Road,Bangor,LL57 1AY,53.23148299021440,-4.12075067035687,3,1,No,9,2015,150000,https://www.rightmove.co.uk/house-prices/details/england-93891947-52607727?s=f1c6e09d41deca134bcbfd8289e1b448df8939c0d6ca882b3b77ad55e75583df#/,E,52,B,88,2748-0060-7222-3135-4994,https://find-energy-certificate.service.gov.uk/energy-certificate/2748-0060-7222-3135-4994,81,872,Mid-terrace
48,Orme Road,Bangor,LL57 1AY,53.23159526587340,-4.12104782446813,3,,No,3,2011,105000,https://www.rightmove.co.uk/house-prices/details/england-141450956-52607691?s=6d5ec972bd04bf40c3a23fb1c7eae7892a4a4365670463c7375e9f3aac6820b9#/,C,70,B,88,8607-7657-2922-0296-8803,https://find-energy-certificate.service.gov.uk/energy-certificate/8607-7657-2922-0296-8803,80,861,Mid-terrace
49,Orme Road,Bangor,LL57 1AY,53.23152581793020,-4.12070638472868,4,1,No,8,2022,157500,https://www.rightmove.co.uk/house-prices/details/england-124535279-16523533?s=da1d807284a5cf7e8bf2db2ab384fcb01a5b6668d5149a17a58e0edbe60f94e7#/,C,73,B,86,2529-1325-7000-0164-0292,https://find-energy-certificate.service.gov.uk/energy-certificate/2529-1325-7000-0164-0292,88,947,Mid-terrace
50,Orme Road,Bangor,LL57 1AY,53.23163716500970,-4.12101807599972,4,,No,6,1998,41000,https://www.rightmove.co.uk/house-prices/details/england-65441062-52607607?s=a639c2a0819ad8a2926024ef9886b04fd05905b9987c18ccf10be002b4059719#/,C,71,A,92,8127-7029-0980-9454-6906,https://find-energy-certificate.service.gov.uk/energy-certificate/8127-7029-0980-9454-6906,74,797,Mid-terrace
51,Orme Road,Bangor,LL57 1AY,53.23155995772010,-4.12055992320323,1,,No,5,2006,140000,https://www.rightmove.co.uk/house-prices/details/england-144519782-52607664?s=9aa41e21a93c945d7ac62d3aba19b12d5631520b37cfe81eb95011ff3d8ac41a#/,D,62,C,75,,https://find-energy-certificate.service.gov.uk/energy-certificate/,104,1119,
52,Orme Road,Bangor,LL57 1AY,53.23167906416420,-4.12097607795524,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
53,Orme Road,Bangor,LL57 1AU,53.23168500048700,-4.12054406297179,5,,No,12,2005,141000,https://www.rightmove.co.uk/house-prices/details/england-136840304-52607424?s=72715e1fe773d2a0961049bc2c706ffdbaa370713336df4c0815207d97d40abd#/,D,61,B,86,9671-2900-1200-7419-3200,https://find-energy-certificate.service.gov.uk/energy-certificate/9671-2900-1200-7419-3200,89,958,Mid-terrace
54,Orme Road,Bangor,LL57 1AY,53.23171782085980,-4.12093932961844,1,1,No,5,2010,130000,https://www.rightmove.co.uk/house-prices/details/england-128981879-52607688?s=c855410eb372e7968700b1738cd4ee8c23050272560f225df654e797ac9f4f91#/,D,68,B,84,0370-2549-7280-2007-3975,https://find-energy-certificate.service.gov.uk/energy-certificate/0370-2549-7280-2007-3975,93,1001,Mid-terrace
55,Orme Road,Bangor,LL57 1AU,53.23172523653340,-4.12050868440171,3,1,No,6,2013,152500,https://www.rightmove.co.uk/house-prices/details/england-33868289-52607505?s=e49c6c9adb79de93e643575bdd0f8d2b286ff05813d003eb820258236fbc1843#/,D,68,B,87,2778-4031-6277-5648-4954,https://find-energy-certificate.service.gov.uk/energy-certificate/2778-4031-6277-5648-4954,83,893,Mid-terrace
56,Orme Road,Bangor,LL57 1AU,53.23175448337400,-4.12090432908121,4,,No,8,2007,149950,https://www.rightmove.co.uk/house-prices/details/england-44439189-52607463?s=c322de57222c9ca2d0a1d60e9ea64f273bb8d10c4eb4041cf409033620d908e7#/,E,54,B,86,9831-2000-1202-7312-3204,https://find-energy-certificate.service.gov.uk/energy-certificate/9831-2000-1202-7312-3204,84,904,Mid-terrace
57,Orme Road,Bangor,LL57 1AU,53.23176653140910,-4.12046799897729,3,2,No,7,2016,148495,https://www.rightmove.co.uk/house-prices/details/england-86364000-88191123?s=8d5aeaa7f04b55142b9ac0f5057fe45b5320636cdac76ebb7bdfdbdadbd12d2f#/,E,50,B,84,8696-7927-4000-1242-0906,https://find-energy-certificate.service.gov.uk/energy-certificate/8696-7927-4000-1242-0906,95,1023,Mid-terrace
58,Orme Road,Bangor,LL57 1AU,53.23179219244150,-4.12087108073345,4,,No,6,2013,138000,https://www.rightmove.co.uk/house-prices/details/england-123810338-52607502?s=cf2850251ab0350fe1bb662589c8feced27c4d0ffdd0c61f750ca2e4133e52d6#/,D,67,B,86,0210-2313-2380-2707-2161,https://find-energy-certificate.service.gov.uk/energy-certificate/0210-2313-2380-2707-2161,91,980,Mid-terrace
59,Orme Road,Bangor,LL57 1AU,53.23181100280640,-4.12042908238725,4,1,No,2,2014,154995,https://www.rightmove.co.uk/house-prices/details/england-86414451-52607514?s=201b039237c36c7e370b283b8b7ac14b7bbd31fd035ab4cc71bcb72b309ae31d#/,D,68,B,85,0514-2031-2209-1617-7204,https://find-energy-certificate.service.gov.uk/energy-certificate/0514-2031-2209-1617-7204,84,904,Mid-terrace
60,Orme Road,Bangor,LL57 1AU,53.23183199644420,-4.12083608241756,4,,No,1,2007,162500,https://www.rightmove.co.uk/house-prices/details/england-130005731-52607448?s=312fceac6ff8889893e7941dc9b78beaaf288b65e8adbae01615c1d343bdc221#/,D,67,B,88,0169-2803-7215-9398-2435,https://find-energy-certificate.service.gov.uk/energy-certificate/0169-2803-7215-9398-2435,85,915,Mid-terrace
61,Orme Road,Bangor,LL57 1AU,53.23185229767420,-4.12039547252133,,,,,,,,,,,,,https://find-energy-certificate.service.gov.uk/energy-certificate/,,,
62,Orme Road,Bangor,LL57 1AU,53.23186865802500,-4.12079583423036,3,,No,3,2003,107000,https://www.rightmove.co.uk/house-prices/details/england-121747766-52607406?s=e70de109e62e7eccc025a709fc37275c5d35b7452bd7e89c88189f1d8bd5a39a#/,E,47,B,84,8204-2495-6329-3197-2833,https://find-energy-certificate.service.gov.uk/energy-certificate/8204-2495-6329-3197-2833,111,1195,Mid-terrace
